message,severity,attributes,tags,timestamp
handled request,info,"{""resp_headers"":{""Etag"":[""\""dh7losegvnr4deb-gzip\""""],""Content-Type"":[""text/html; charset=utf-8""],""Last-Modified"":[""Fri, 20 Mar 2026 12:15:49 GMT""],""X-Content-Type-Options"":[""nosniff""],""Content-Encoding"":[""gzip""],""Vary"":[""Accept-Encoding""]},""ts"":1774009295.4155223,""logger"":""http.log.access.log0"",""request"":{""remote_ip"":""100.64.0.4"",""remote_port"":""14840"",""client_ip"":""118.163.198.6"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""texas-hold-em-poker-production-121b.up.railway.app"",""uri"":""/"",""headers"":{""Accept-Encoding"":[""gzip, deflate, br, zstd""],""Sec-Ch-Ua"":[""\""Chromium\"";v=\""146\"", \""Not-A.Brand\"";v=\""24\"", \""Google Chrome\"";v=\""146\""""],""Accept"":[""text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7""],""Cache-Control"":[""no-cache""],""X-Forwarded-Proto"":[""https""],""X-Railway-Edge"":[""railway/asia-southeast1-eqsg3a""],""X-Real-Ip"":[""118.163.198.6""],""Sec-Ch-Ua-Platform"":[""\""macOS\""""],""X-Forwarded-For"":[""118.163.198.6""],""Sec-Fetch-User"":[""?1""],""Cookie"":[""REDACTED""],""X-Forwarded-Host"":[""texas-hold-em-poker-production-121b.up.railway.app""],""Priority"":[""u=0, i""],""Sec-Fetch-Dest"":[""document""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""],""Sec-Fetch-Site"":[""none""],""Sec-Ch-Ua-Mobile"":[""?0""],""Accept-Language"":[""zh-CN,zh;q=0.9""],""Sec-Fetch-Mode"":[""navigate""],""X-Request-Start"":[""1774009295178""],""X-Railway-Request-Id"":[""FJqgpUqSSK2_1lZ1acI7Nw""],""Pragma"":[""no-cache""],""Upgrade-Insecure-Requests"":[""1""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.0012756,""size"":4283,""status"":200,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""bcce8026-fd4d-4587-8bdd-b3a52a34d5c9"",""replica"":""05bfc330-f09f-4f10-b122-a72312cb3c7c""}",2026-03-20T12:21:37.202671776Z
handled request,info,"{""resp_headers"":{""Content-Type"":[""text/css; charset=utf-8""],""Last-Modified"":[""Fri, 20 Mar 2026 12:15:49 GMT""],""X-Content-Type-Options"":[""nosniff""],""Content-Encoding"":[""gzip""],""Vary"":[""Accept-Encoding""],""Etag"":[""\""dh7losegvnr4tjo-gzip\""""]},""ts"":1774009296.2007682,""logger"":""http.log.access.log0"",""request"":{""remote_ip"":""100.64.0.4"",""remote_port"":""14840"",""client_ip"":""118.163.198.6"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""texas-hold-em-poker-production-121b.up.railway.app"",""uri"":""/assets/index-D8n8F236.css"",""headers"":{""Origin"":[""https://texas-hold-em-poker-production-121b.up.railway.app""],""X-Request-Start"":[""1774009296120""],""Pragma"":[""no-cache""],""Sec-Ch-Ua-Platform"":[""\""macOS\""""],""X-Forwarded-Proto"":[""https""],""Cookie"":[""REDACTED""],""Referer"":[""https://texas-hold-em-poker-production-121b.up.railway.app/""],""X-Forwarded-Host"":[""texas-hold-em-poker-production-121b.up.railway.app""],""Accept-Language"":[""zh-CN,zh;q=0.9""],""Sec-Ch-Ua"":[""\""Chromium\"";v=\""146\"", \""Not-A.Brand\"";v=\""24\"", \""Google Chrome\"";v=\""146\""""],""Sec-Fetch-Site"":[""same-origin""],""Sec-Fetch-Dest"":[""style""],""X-Forwarded-For"":[""118.163.198.6""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""],""X-Railway-Edge"":[""railway/asia-southeast1-eqsg3a""],""X-Railway-Request-Id"":[""3hV6UBOzTIK3yVhTacI7Nw""],""Sec-Fetch-Mode"":[""cors""],""Priority"":[""u=0""],""Accept-Encoding"":[""gzip, deflate, br, zstd""],""Sec-Ch-Ua-Mobile"":[""?0""],""X-Real-Ip"":[""118.163.198.6""],""Accept"":[""text/css,*/*;q=0.1""],""Cache-Control"":[""no-cache""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.001152714,""size"":8019,""status"":200,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""bcce8026-fd4d-4587-8bdd-b3a52a34d5c9"",""replica"":""05bfc330-f09f-4f10-b122-a72312cb3c7c""}",2026-03-20T12:21:37.202678468Z
handled request,info,"{""resp_headers"":{""Content-Encoding"":[""gzip""],""Vary"":[""Accept-Encoding""],""Etag"":[""\""dh7losegvnr4deb-gzip\""""],""Content-Type"":[""text/html; charset=utf-8""],""Last-Modified"":[""Fri, 20 Mar 2026 12:15:49 GMT""],""X-Content-Type-Options"":[""nosniff""]},""ts"":1774009296.3569057,""logger"":""http.log.access.log0"",""request"":{""remote_ip"":""100.64.0.4"",""remote_port"":""14862"",""client_ip"":""118.163.198.6"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""texas-hold-em-poker-production-121b.up.railway.app"",""uri"":""/socket.io/socket.io.js"",""headers"":{""X-Forwarded-Proto"":[""https""],""Priority"":[""u=1""],""Sec-Fetch-Dest"":[""script""],""Sec-Ch-Ua"":[""\""Chromium\"";v=\""146\"", \""Not-A.Brand\"";v=\""24\"", \""Google Chrome\"";v=\""146\""""],""X-Forwarded-Host"":[""texas-hold-em-poker-production-121b.up.railway.app""],""X-Railway-Edge"":[""railway/asia-southeast1-eqsg3a""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""],""Sec-Ch-Ua-Mobile"":[""?0""],""Referer"":[""https://texas-hold-em-poker-production-121b.up.railway.app/""],""Pragma"":[""no-cache""],""Sec-Ch-Ua-Platform"":[""\""macOS\""""],""Sec-Fetch-Mode"":[""no-cors""],""X-Railway-Request-Id"":[""KiJIwlYHRWm9U7gyacI7Nw""],""Accept"":[""*/*""],""Accept-Language"":[""zh-CN,zh;q=0.9""],""Cookie"":[""REDACTED""],""Accept-Encoding"":[""gzip, deflate, br, zstd""],""X-Request-Start"":[""1774009296121""],""Sec-Fetch-Site"":[""same-origin""],""X-Forwarded-For"":[""118.163.198.6""],""X-Real-Ip"":[""118.163.198.6""],""Cache-Control"":[""no-cache""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.001518538,""size"":4283,""status"":200,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""bcce8026-fd4d-4587-8bdd-b3a52a34d5c9"",""replica"":""05bfc330-f09f-4f10-b122-a72312cb3c7c""}",2026-03-20T12:21:37.204516868Z
handled request,info,"{""resp_headers"":{""Vary"":[""Accept-Encoding""],""Etag"":[""\""dh7losegvnr4zap-gzip\""""],""Content-Type"":[""text/javascript; charset=utf-8""],""Last-Modified"":[""Fri, 20 Mar 2026 12:15:49 GMT""],""X-Content-Type-Options"":[""nosniff""],""Content-Encoding"":[""gzip""]},""ts"":1774009296.357647,""logger"":""http.log.access.log0"",""request"":{""remote_ip"":""100.64.0.4"",""remote_port"":""14846"",""client_ip"":""118.163.198.6"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""texas-hold-em-poker-production-121b.up.railway.app"",""uri"":""/assets/index-OisLgwwN.js"",""headers"":{""Priority"":[""u=1""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""],""X-Forwarded-For"":[""118.163.198.6""],""X-Forwarded-Host"":[""texas-hold-em-poker-production-121b.up.railway.app""],""X-Forwarded-Proto"":[""https""],""Accept"":[""*/*""],""Accept-Encoding"":[""gzip, deflate, br, zstd""],""Sec-Fetch-Site"":[""same-origin""],""X-Railway-Edge"":[""railway/asia-southeast1-eqsg3a""],""Sec-Ch-Ua-Platform"":[""\""macOS\""""],""X-Railway-Request-Id"":[""ACMSYBYZTs2J4hFDacI7Nw""],""X-Real-Ip"":[""118.163.198.6""],""Accept-Language"":[""zh-CN,zh;q=0.9""],""Cookie"":[""REDACTED""],""Sec-Ch-Ua-Mobile"":[""?0""],""Sec-Ch-Ua"":[""\""Chromium\"";v=\""146\"", \""Not-A.Brand\"";v=\""24\"", \""Google Chrome\"";v=\""146\""""],""Origin"":[""https://texas-hold-em-poker-production-121b.up.railway.app""],""Pragma"":[""no-cache""],""Referer"":[""https://texas-hold-em-poker-production-121b.up.railway.app/""],""Sec-Fetch-Dest"":[""script""],""Sec-Fetch-Mode"":[""cors""],""Cache-Control"":[""no-cache""],""X-Request-Start"":[""1774009296120""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.002465057,""size"":12810,""status"":200,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""bcce8026-fd4d-4587-8bdd-b3a52a34d5c9"",""replica"":""05bfc330-f09f-4f10-b122-a72312cb3c7c""}",2026-03-20T12:21:37.204524355Z
handled request,info,"{""resp_headers"":{""Vary"":[""Accept-Encoding""],""Etag"":[""\""dh7losegvnr4deb-gzip\""""],""Content-Type"":[""text/html; charset=utf-8""],""Last-Modified"":[""Fri, 20 Mar 2026 12:15:49 GMT""],""X-Content-Type-Options"":[""nosniff""],""Content-Encoding"":[""gzip""]},""ts"":1774009296.357826,""logger"":""http.log.access.log0"",""request"":{""remote_ip"":""100.64.0.4"",""remote_port"":""14840"",""client_ip"":""118.163.198.6"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""texas-hold-em-poker-production-121b.up.railway.app"",""uri"":""/wallet.js"",""headers"":{""X-Forwarded-Proto"":[""https""],""Cookie"":[""REDACTED""],""Sec-Ch-Ua"":[""\""Chromium\"";v=\""146\"", \""Not-A.Brand\"";v=\""24\"", \""Google Chrome\"";v=\""146\""""],""Priority"":[""u=1""],""Sec-Ch-Ua-Platform"":[""\""macOS\""""],""X-Railway-Edge"":[""railway/asia-southeast1-eqsg3a""],""Sec-Fetch-Mode"":[""no-cors""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""],""Referer"":[""https://texas-hold-em-poker-production-121b.up.railway.app/""],""X-Railway-Request-Id"":[""UUkpfjz3R9G4E3BLacI7Nw""],""Accept"":[""*/*""],""Accept-Language"":[""zh-CN,zh;q=0.9""],""X-Real-Ip"":[""118.163.198.6""],""X-Request-Start"":[""1774009296122""],""Accept-Encoding"":[""gzip, deflate, br, zstd""],""Sec-Fetch-Dest"":[""script""],""X-Forwarded-For"":[""118.163.198.6""],""Sec-Ch-Ua-Mobile"":[""?0""],""Sec-Fetch-Site"":[""same-origin""],""Cache-Control"":[""no-cache""],""Pragma"":[""no-cache""],""X-Forwarded-Host"":[""texas-hold-em-poker-production-121b.up.railway.app""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000724266,""size"":4283,""status"":200,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""bcce8026-fd4d-4587-8bdd-b3a52a34d5c9"",""replica"":""05bfc330-f09f-4f10-b122-a72312cb3c7c""}",2026-03-20T12:21:37.208922190Z
handled request,info,"{""resp_headers"":{""Vary"":[""Accept-Encoding""],""Etag"":[""\""dh7losegvnr4deb-gzip\""""],""Content-Type"":[""text/html; charset=utf-8""],""Last-Modified"":[""Fri, 20 Mar 2026 12:15:49 GMT""],""X-Content-Type-Options"":[""nosniff""],""Content-Encoding"":[""gzip""]},""ts"":1774009306.0477407,""logger"":""http.log.access.log0"",""request"":{""remote_ip"":""100.64.0.5"",""remote_port"":""43358"",""client_ip"":""118.163.198.6"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""texas-hold-em-poker-production-121b.up.railway.app"",""uri"":""/favicon.ico"",""headers"":{""Cookie"":[""REDACTED""],""Referer"":[""https://texas-hold-em-poker-production-121b.up.railway.app/""],""Sec-Ch-Ua-Mobile"":[""?0""],""X-Forwarded-For"":[""118.163.198.6""],""Priority"":[""u=1, i""],""X-Forwarded-Host"":[""texas-hold-em-poker-production-121b.up.railway.app""],""Sec-Fetch-Dest"":[""image""],""X-Request-Start"":[""1774009305807""],""Pragma"":[""no-cache""],""X-Railway-Request-Id"":[""Rr9uUNWrRZGl-u120ubPiw""],""Accept-Encoding"":[""gzip, deflate, br, zstd""],""Sec-Ch-Ua"":[""\""Chromium\"";v=\""146\"", \""Not-A.Brand\"";v=\""24\"", \""Google Chrome\"";v=\""146\""""],""Accept"":[""image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36""],""Accept-Language"":[""zh-CN,zh;q=0.9""],""Cache-Control"":[""no-cache""],""Sec-Ch-Ua-Platform"":[""\""macOS\""""],""Sec-Fetch-Site"":[""same-origin""],""X-Real-Ip"":[""118.163.198.6""],""Sec-Fetch-Mode"":[""no-cors""],""X-Forwarded-Proto"":[""https""],""X-Railway-Edge"":[""railway/asia-southeast1-eqsg3a""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.001168706,""size"":4283,""status"":200,""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""bcce8026-fd4d-4587-8bdd-b3a52a34d5c9"",""replica"":""05bfc330-f09f-4f10-b122-a72312cb3c7c""}",2026-03-20T12:21:46.777055848Z
cleaning storage unit,info,"{""storage"":""FileStorage:/root/.local/share/caddy"",""ts"":1774009437.7643087,""logger"":""tls"",""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079167724Z
finished cleaning storage units,info,"{""ts"":1774009437.7663357,""logger"":""tls"",""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079178037Z
admin endpoint disabled,warn,"{""ts"":1774009437.7601168,""logger"":""admin"",""level"":""warn""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079202774Z
automatic HTTPS is completely disabled for server,info,"{""server_name"":""srv0"",""ts"":1774009437.7602222,""logger"":""http.auto_https"",""level"":""info""}","{""project"":""c0b90af6-9f87-4f5e-98ed-c7e2dd3b18cb"",""environment"":""737ce8a5-4f56-47b5-869e-fe48358799fc"",""service"":""d62565c3-1369-45a2-a133-9c7bf3d0cc2f"",""deployment"":""2103db31-614a-42c3-9ea2-c5003c03f6e5"",""replica"":""ab0dcac4-ad36-4f67-998a-0ccd7df465af""}",2026-03-20T12:23:58.079216961Z
